alim_nom_fr;Energie, Règlement UE N° 1169/2011 (kJ/100 g);Energie, Règlement UE N° 1169/2011 (kcal/100 g);Protéines, N x 6.25 (g/100 g);Glucides (g/100 g);Lipides (g/100 g);Sucres (g/100 g);Glucose (g/100 g);Alcool (g/100 g)
Café au lait ou cappuccino au chocolat, poudre soluble;1690;402;11;67,1;9,13;62,2;0,13;0
Poudre cacaotée ou au chocolat sucrée pour boisson, enrichie en vitamines et minéraux;1590;376;4,68;79,3;3,04;76,7;-;0
Poudre cacaotée ou au chocolat pour boisson, sucrée, enrichie en vitamines;1640;386;4,29;85;2,04;82,7;-;0
Citron ou Lime, spécialité à diluer pour boissons, sans sucres ajoutés;84,9;19,7;< 0,5;1,31;0;0,91;0,46;0
Vin doux;-;-;0,2;10,5;0;7,78;2,59;15,2
Pétillant de fruits;-;-;0;6,95;0;6,95;-;5,41
Vin blanc mousseux;-;-;0;1,7;0;1,4;0,7;9,9
Champagne;-;-;0,3;2,81;0;1,4;-;9,9
Vin blanc mousseux aromatisé;-;-;0,2;5,1;0;5,1;-;8,9
Vin (aliment moyen);;;0,09;3,29;0;1,37;0,45;10,1
Vin rouge;341;82,1;0,07;2,63;0;0,62;0,1;10,2
Vin blanc (sec);-;-;< 0,5;4,04;0;0,17;0,09;7,75
Vin rosé;-;-;0;1,6;0;-;0,7;9,3
Bière brune;-;-;0,43;4,1;traces;4,1;-;3,19
Bière 'coeur de marché' (4-5° alcool);-;-;0,39;2,7;0;0,98;0;3,57
Bière forte (>8° alcool);-;-;0,63;4,6;0;-;-;6
Cidre (aliment moyen);;;0,069;3,22;0,083;2,82;;3,21
Cidre brut;-;-;0;2,62;0;2,22;-;3,72
Cidre doux;158;37,5;< 0,5;5,09;< 0,6;4,61;1,03;1,91
Bière faiblement alcoolisée (3° alcool);-;-;0,31;4,62;< 0,05;0,09;0,0054;2,23
Bière blanche;143;34,6;< 0,5;0,43;< 0,6;0,18;0,1;4,17
Bière 'spéciale' (5-6° alcool);-;-;0,48;4,55;< 0,05;4;0;5,13
Bière 'de spécialités' ou d'abbaye, régionales ou d'une brasserie (degré d'alcool variable);-;-;0,63;3,2;0;-;0,07;4,6
Cidre traditionnel;-;-;0;1,87;0;1,58;-;3,64
Cidre bouché demi-sec;201;48;< 0,5;4,4;< 0,6;3,7;0,5;3,71
Cidre aromatisé (framboise);149;35,4;< 0,5;5,34;< 0,6;4,96;1,04;1,36
Bière sans alcool (<1,2° alcool);107;25,3;0,31;4,89;< 0,05;2,55;0,17;0,62
Pastis;1140;274;0;2,86;0;0;-;37,5
Eau de vie;950;229;0;0,37;0;0;-;32,6
Gin;1100;265;0;0;0;0;-;37,9
Liqueur;1380;328;0,1;39,6;0,3;35,3;-;23,8
Rhum;1060;256;0;0;0;0;-;36,6
Whisky;1050;252;0;0,096;0;0,096;-;36
Apéritif à base de vin ou vermouth;-;-;0,054;11,3;0;11,1;-;13,1
Vodka;1000;242;0;0;0;0;-;34,5
Pastis, prêt à boire (1+ 5);117;27,6;0;6,89;0;0;-;0
Apéritif anisé sans alcool;-;-;0;1;0;0,03;-;0
Alcool pur;2730;660;0;0;0;0;-;94,3
Marsala;887;211;0,1;27,9;0;27,9;-;14,2
Marsala aux oeufs;640;153;0;12,4;0;12,4;-;14,8
Crème de cassis;1030;245;0;41;0;40,9;-;11,6
Eau de vie de vin, type armagnac, cognac;945;228;0;1;0;0;-;32
Eau de vie, type calvados;-;-;0;0;0;0;-;-
Saké ou Alcool de riz;552;133;0;5;0;0;-;16,1
Cocktail à base de rhum;-;-;0;22,5;2,19;22,3;-;9,9
Cocktail à base de whisky;-;-;0;15,9;0,02;15,8;-;14,6
Sangria;-;-;0;10,3;0,05;9,5;-;6,32
Kir (au vin blanc);-;-;0,18;7,36;0;5,55;-;8,69
Kir royal (au champagne);-;-;0,25;7,97;0;5,66;-;9,1
Cocktail type punch, 16% alcool;-;-;0,6;17,8;< 0,6;17,8;2,97;12,1
Cocktail sans alcool (à base de jus de fruits et de sirop);-;-;0,5;12,8;0;11,2;-;0,0034
Panaché (limonade et bière);152;36,2;0;5,63;0;5,4;-;1,95
Panaché préemballé (<1° alc.);107;25,4;0,48;4,93;< 0,05;4,92;0,95;0,5
Édulcorant à l'aspartame, en pastilles;904;216;6,35;69,3;0;6,65;< 0,2;0
Édulcorant à l'aspartame, en poudre;-;-;0,63;94,7;< 0,25;9,33;0,4;0
Vermicelles multicolores;-;-;0,5;93;5;91;-;0
Miel;-;-;0,56;81,7;0;79,8;33,5;0
Sucre blanc;-;-;0;99,8;0;99,8;0;0
Sucre roux;-;-;0,12;97,3;0;95,5;0,93;0
Sirop d'érable;-;-;0,04;67,1;0,06;62,6;0,71;0
Sucre vanillé;-;-;0,1;99;0,33;97,2;< 0,2;0
Caramel liquide ou nappage caramel;-;-;0;81;0;61;-;0
Édulcorant à la saccharine;-;-;1,25;88,8;0;-;-;0
Mélasse de canne;-;-;0;74,7;0,1;74,7;11,9;0
Sucre allégé à l'aspartame;-;-;0,81;98,7;0;98,7;-;0
Fructose;-;-;0;99,8;0;-;-;0
Édulcorant à base d'extrait de stévia;993;238;traces;98;0,2;0,3;-;0
Sirop d'agave;-;-;< 0,5;78,1;0,5;70,2;9,55;0
Barre chocolatée biscuitée;2180;523;6,14;60,5;28,1;46,9;0,23;0
Barre chocolatée non biscuitée enrobée;2080;496;3,7;66,4;24,1;60,5;1,6;0
Barre à la noix de coco, enrobée de chocolat;1990;475;3,88;60,2;23,8;53;3,31;0
Chocolat au lait, tablette;2240;537;7,5;55,6;30,8;53,1;< 0,1;0
Chocolat noir à moins de 70% de cacao, à croquer, tablette;-;-;6,63;42,9;33,8;38,3;< 0,2;0
Chocolat au lait aux céréales croustillantes, tablette;-;-;7,15;60,6;26,6;50,8;< 0,23;0
Chocolat blanc, tablette;-;-;6,16;57,1;34,2;56;0,18;0
Barres ou confiserie chocolatées au lait;2300;551;8,75;50,9;34,2;43,3;0,94;0
Chocolat au lait aux fruits secs (noisettes, amandes, raisins, praline), tablette;-;-;8,43;48,7;35,9;43,6;< 0,2;0
Chocolat au lait sans sucres ajoutés, avec édulcorants, tablette;2020;487;5,75;54,2;34,6;11,3;-;0
Chocolat blanc aux fruits secs (noisettes, amandes, raisins, praliné) , tablette;-;-;7,64;48;39,1;45,1;0,25;0
Chocolat noir sans sucres ajoutés, avec édulcorants, en tablette;2170;525;8,48;34,1;42,3;2;-;0
Pâte à tartiner chocolat et noisette;-;-;5,02;57,9;32,4;56,2;< 0,23;0
Confiserie au chocolat dragéifiée;2110;505;5,49;65;24,3;57,4;0,8;0
Cacahuètes enrobées de chocolat dragéifiées;2090;499;9,5;55,9;25;50,5;< 0,2;0
Bouchée chocolat fourrage fruits à coques et/ou praliné;-;-;9,1;51,5;34,7;46,2;-;0
Rocher chocolat fourré praliné;-;-;6,53;51,4;35,3;49,2;0,4;0
Chocolat noir aux fruits (orange, framboise, poire), tablette;-;-;6,8;45,3;34,4;35,7;3,76;0
Chocolat noir aux fruits secs (noisettes, amandes, raisins, praline), tablette;2360;567;8,69;40,7;39;38,2;0,1;0
Barre chocolatée aux fruits secs;2060;494;7,23;57,6;26;45,1;6,35;0
Chocolat noir fourrage confiseur à la menthe;-;-;2,9;70,5;16;69;10,1;0
Barre goûter frais au lait et chocolat;-;-;6,81;41;28,5;32,8;2,88;0
Chocolat noir à 70% cacao minimum, extra, dégustation, tablette;2450;591;10,4;26,9;46,3;17,9;< 0,2;0
Chocolat au lait fourré;-;-;4,8;45,5;45;44,5;-;0
Chocolat noir fourré praliné, tablette;-;-;6,38;52,4;34,8;48,8;0,2;0
Chocolat au lait fourré au praliné, tablette;-;-;7,29;52,9;34,9;49,9;0,19;0
Chocolat noir à 40% de cacao minimum, à pâtisser, tablette;-;-;6,39;51,4;33,1;41,6;0,11;0
Bonbon / bouchée au chocolat fourrage gaufrettes / biscuit;-;-;6,5;55,1;29,4;42,9;-;0
Barre chocolat au lait avec nougat;2220;532;5,8;60,5;29;60,1;1,75;0
Barre goûter frais au lait et chocolat avec génoise;-;-;6,68;39;34,2;33,3;1,5;0
Chocolat, en tablette (aliment moyen);2320;557;7,81;45,3;36,1;39,5;0,66;0
Bonbons, tout type;-;-;1,75;86,5;6,32;64,4;5,63;0
Chewing-gum, sucré;1580;372;< 0,5;90,6;0,32;68,1;4,88;0
Pâte de fruits;1420;336;1,69;76,6;1,8;69,2;11;0
Zeste d'orange confit;-;-;0,2;82,7;0,2;82,7;-;0
Marron glacé;1370;324;0,94;79,5;< 0,5;56,6;7,59;0
Fruit confit;1270;298;< 0,5;72,3;< 0,3;62,9;24,6;0
Nougat ou touron;-;-;7,88;62,5;25,2;58;-;0
Dragée amande;-;-;5;73,9;17,2;71,9;-;0
Guimauve ou marshmallow;-;-;3,67;78,7;1,42;65,6;14,1;0
Chewing-gum, sans sucre;955;228;0,69;78,1;0,45;< 0,03;< 0,03;0
Bonbon dur et sucette;-;-;< 0,19;95,4;0,35;74,9;1,84;0
Bonbon gélifié;-;-;6,28;80,2;0,25;68,1;15,1;0
Bonbon au caramel, mou;-;-;2,95;83,7;8,04;60,4;3,6;0
Calissons d'Aix en Provence;1850;440;7,88;60,3;18;50,1;9,6;0
Guimauve ou marshmallow, enrobé de chocolat;-;-;4,65;66,2;10,3;56,3;-;0
Bonbon dur au caramel;-;-;1,21;72,5;6;72,5;1,85;0
Chewing-gum, teneur en sucre inconnue (aliment moyen);1180;279;0,53;82,5;0,41;24;1,73;0
Confiture ou Marmelade, tout type de fruits, teneur en sucre inconnue (aliment moyen);966;228;0,37;56,5;0,29;55,5;16,4;0
Confiture ou Marmelade, tout type de fruits (aliment moyen);1060;249;0,29;60,2;0,31;59;17,4;0
Confiture de fraise (extra ou classique);1060;251;< 0,5;60,5;0,5;60,1;15,1;0
Confiture d'abricot (extra ou classique);1050;247;< 0,5;59,7;0,3;56,8;15,1;0
Confiture de cerise (extra ou classique);-;-;0,38;60,9;0,16;60;22,7;0
Marmelade d'orange;1050;246;< 0,5;59,3;0,4;56,9;18,7;0
Confiture de lait;-;-;6,32;58;5,45;51,7;1,66;0
Confiture de prune (extra ou classique);-;-;0,27;59,3;0,1;59,3;19,4;0
Confiture de framboise (extra ou classique);-;-;0,47;61;0,21;59,5;19,9;0
Confiture de myrtilles (extra ou classique);1040;246;< 0,5;58,9;0,4;58,9;22,8;0
Préparation de fruits divers (en taux de sucres : confitures allégées en sucres < préparations de fruits < confitures);-;-;0,49;43,4;0,33;40,5;15,9;0
Gelée de fruits divers (extra ou classique);-;-;0,35;61,6;0,17;61,6;19,4;0
Gelée de groseille (extra ou classique);1050;246;< 0,5;59,6;< 0,3;58,7;19,3;0
Confiture, tout type de fruits, allégée en sucres (extra ou classique);689;162;0,75;38;< 0,3;38;11,7;0
Pain brioché ou viennois;1500;356;10,7;55,5;9,38;6,9;1,6;0
Viennoiserie (aliment moyen);1590;380;8,02;49,1;16,2;12,8;2,77;0
Croissant, sans précision;1570;375;7,29;40,4;20;8,83;1,45;0
Croissant ordinaire, artisanal;1720;412;6,94;47,6;21,1;7,88;2,73;0
Croissant au beurre, artisanal;1760;420;7,25;45,7;22,6;7,3;2,5;0
Croissant aux amandes, artisanal;1860;446;8,36;35,9;29,1;14,1;-;0
Pain au lait, artisanal;1600;382;9,38;50,6;15,4;9,94;2,42;0
Pain au lait, préemballé;1510;359;8,94;52,2;12,3;11,9;3,01;0
Pain au lait aux pépites de chocolat, préemballé;1550;369;8,51;52;13,5;18;1,22;0
Pain aux raisins (viennoiserie);1400;333;5,6;55,9;9;18,7;7,52;0
Pain au chocolat feuilleté, artisanal;1770;423;8,19;45,4;22,5;12,8;2,5;0
Pain au chocolat, préemballé;1780;425;7,56;46,8;22,3;11,1;1,1;0
Brioche (ou briochettes) aux pépites de chocolat, préemballée;1460;348;8,56;51,6;11,2;17;2,17;0
Brioche fourrée au chocolat;1480;351;7,47;53,2;11,6;21,1;4,13;0
Brioche fourrée aux fruits, préemballée;1450;346;6,9;50,5;12,1;18,4;6;0
Brioche fourrée crème pâtissière (type 'chinois'), préemballée;1270;300;6,22;49,2;8,41;20,7;-;0
Brioche, préemballée;1490;354;8,13;52,7;11,8;12,7;3,4;0
Brioche, sans précision;1680;401;11,3;46;19,1;5,7;1,7;0
Brioche, de boulangerie traditionnelle;1570;374;9,81;49,2;14,7;-;4,7;0
Couronne de Noël (Brioche) aux fruits confits, préemballée;1490;355;7,2;53,3;12,3;19,6;-;0
Brioche pur beurre, préemballée;1540;366;8;51,6;14;13,4;1,9;0
Chouquette;1590;381;7,76;42,6;18,6;27,1;< 0,2;0
Chausson aux pommes;1410;338;4,17;36,6;18,7;11,2;3,6;0
Tartine craquante, extrudée et grillée, fourrée au chocolat;-;-;7,85;64,3;16;30,2;< 0,5;0
Tartine craquante, extrudée et grillée, fourrée aux fruits;-;-;5,38;74,7;6,44;28,8;8,9;0
Macaron sec;-;-;6,9;77,7;10,2;74;-;0
Biscuit sec, sans précision;-;-;6,9;65;20,6;24,7;0,036;0
Biscuit sec nature;-;-;6,77;70;15,1;23,6;0;0
Biscuit sec à teneur garantie en vitamines;-;-;9,63;72,6;14,2;23,3;-;0
Biscuit sec à teneur garantie en vitamines et minéraux;-;-;10,8;61,9;19,8;22,1;4,22;0
Biscuit sec aux fruits, hyposodé;-;-;10,8;61,4;15,8;20,2;-;0
Biscuit sec aux fruits hyposodé, sans sucres ajoutés;-;-;22,7;47,6;20,7;14,3;-;0
Biscuit sec croquant au chocolat, allégé en matière grasse;-;-;7;69;11;22,4;-;0
Biscuit sec fourré aux fruits, allégé en matière grasse;-;-;4,69;75,3;7,2;-;8,9;0
Spéculoos;-;-;5,94;69;19,7;32,6;2,13;0
Biscuit sec, avec matière grasse végétale;-;-;7,23;74,7;11,8;21,7;< 0,2;0
Biscuit sec, petits fours en assortiment;-;-;6,44;61,4;26,4;39,4;0,38;0
Biscuit sec petit beurre;-;-;8,06;74,5;12,1;21,5;< 0,2;0
Biscuit sec avec tablette de chocolat;-;-;6,62;63,3;24,1;36,8;0,17;0
Biscuit sec petit beurre au chocolat;-;-;7,19;71,1;16;24,5;< 0,2;0
Biscuit sec au lait;-;-;8,25;73,9;11,5;20;-;0
Biscuit sec croquant (ex : tuile) sans chocolat, allégé en matière grasse;-;-;5,63;80,1;8,8;29,4;< 0,5;0
Biscuit sec pour petit déjeuner;-;-;7,81;65,8;16,3;21;0,21;0
Biscuit sec pour petit déjeuner, allégé en sucres;-;-;7,68;66,3;16;20,2;-;0
Biscuit sec chocolaté, préemballé;-;-;6,43;61,7;26,9;34,3;< 0,2;0
Biscuit sec fourré à la pâte ou purée de fruits;-;-;4,43;69,2;9,11;43,4;8,1;0
Biscuit sec avec nappage chocolat;-;-;6,93;61,9;25;36,7;0,14;0
Barre biscuitée fourrée aux fruits, allégée en matière grasse;-;-;3,32;75,7;7,12;41,9;-;0
Biscuit sec pour petit déjeuner, au chocolat;-;-;6,5;69,7;16,6;29,8;< 0,2;0
Biscuit aux céréales pour petit déjeuner, enrichis en vitamines et minéraux;1870;445;7,44;67,7;15,7;23,4;0,19;0
Biscuit sec au beurre, sablé, galette ou palet;-;-;6,4;64,8;22,7;24,3;< 0,2;0
Biscuit sec au beurre, sablé, galette ou palet, au chocolat;-;-;6,64;61;25,3;28,9;0,62;0
Biscuit sec chocolaté, type barquette;-;-;7,39;60,9;22,8;43,1;1,5;0
Biscuit sec chocolaté, type tartelette;-;-;6,65;60,2;25,8;29,2;0,19;0
Biscuit sec chocolaté, type galette;-;-;6,84;63,7;23,5;28,2;-;0
Biscuit sec, sablé, galette ou palet, aux fruits;-;-;5,93;67,6;19,3;31;1,3;0
Biscuit sec fourré fruits à coque (non ou légèrement chocolaté);2140;511;5,5;59,8;27,2;29,7;0,62;0
Florentin (biscuit sec sucré chocolaté aux amandes);2150;514;9,31;50,7;28,7;44,1;4,41;0
Biscuit pâtissier meringué;-;-;7,42;56;30,7;46,1;-;0
Sablé à la noix de coco;-;-;7,1;66,5;20,1;24,2;< 0,3;0
Sablé pâtissier, artisanal;-;-;8,38;59,4;22,9;-;< 0,5;0
Sablé aux fruits (pomme, fruits rouges, etc.);-;-;5,85;66;21,1;32;0,58;0
Sablé au cacao ou chocolat, au praliné ou autre;-;-;6,63;61,2;24,6;27,3;-;0
Goûter sec fourré ('sandwiché') parfum lait ou vanille;-;-;5,36;71,2;18,6;34,7;0,6;0
Goûter sec fourré ('sandwiché') parfum chocolat;-;-;6,7;67,9;18;29,8;0,23;0
Goûter sec fourré ('sandwiché') parfum fruits;-;-;6,64;73,3;17,4;31,6;6,6;0
Gaufrette ou éventail sans fourrage;-;-;9;76,8;8;35;< 0,23;0
Gaufrette fourrée chocolat, préemballée;-;-;6,38;57,2;29,8;35,8;0,13;0
Gaufrette fourrée fruits à coque (noisette, amande, praline, etc.), chocolatée ou non, préemballée;-;-;7,31;59,6;26,4;37,4;5,72;0
Gaufrette, fourrée vanille, préemballée;2250;538;5,75;60,1;30,1;32,9;5,98;0
Gaufrette fourrée, aux fruits;-;-;4,43;82,4;1,58;41,7;15,6;0
Cigarette;-;-;5,29;63;27,5;38;0,5;0
Crêpe dentelle;-;-;6,27;72,1;15,5;36,7;2,75;0
Crêpe dentelle au chocolat, préemballée;-;-;5,91;67,9;21,8;42,4;0,94;0
Biscuit sec aux oeufs à la cuillère (cuiller) ou Boudoir;-;-;7,98;79,9;3,77;47,9;< 0,5;0
Biscuit sec type langue de chat ou cigarette russe;-;-;5,66;77,9;10,7;40,3;0,39;0
Meringue;-;-;4,06;94,3;< 0,5;94,3;< 0,2;0
Biscuit sec ou tuile, aux amandes;1980;471;7,8;68;18,1;39,2;0,25;0
Biscuit sec type tuile, aux fruits;1610;384;5,43;74,9;8,28;26,9;-;0
Biscuit sec feuilleté, type palmier ou autres;-;-;6,1;60,5;27,6;21,6;1,59;0
Palmier, artisanal;-;-;5,93;53,1;28,2;21,8;0,8;0
Biscuit sec (génoise) nappage aux fruits, type barquette;1440;341;4,44;74,4;2,1;51,1;12,6;0
Biscuit sec nappé aux fruits, tartelette;-;-;4,7;71,3;14,2;32,7;8,87;0
Biscuit moelleux fourré à l'orange et enrobé de sucre glace;-;-;4,25;79,3;1,92;52,9;14,3;0
Cookie aux pépites de chocolat;-;-;6,47;59;25,9;31,5;< 0,2;0
Cône ou cornet classique, pour glace;-;-;7,5;80,4;5;25,6;-;0
Génoise sèche fourrée aux fruits et nappée de chocolat;-;-;3,23;69,5;10,6;51,7;7,2;0
Biscuit sec pauvre en glucides;-;-;20,8;43,8;18,5;19,3;-;0
Grains de blé soufflés au miel ou caramel, enrichis en vitamines et minéraux;1660;391;8;82,2;2,2;35,3;3,68;0
Céréales pour petit déjeuner chocolatées, non fourrées, enrichies en vitamines et minéraux;1720;408;8,13;70,4;8,9;26,2;0,2;0
Céréales pour petit déjeuner riches en fibres, avec ou sans fruits, enrichies en vitamines et minéraux;1510;360;11,5;59,3;4,42;22,1;-;0
Céréales pour petit déjeuner (aliment moyen);1680;398;7,81;75,3;6,08;24,6;1,1;0
Muesli (aliment moyen);1760;418;7,49;66,6;12,2;25,9;3,84;0
Pétales de maïs natures, enrichis en vitamines et minéraux;1600;377;7,4;83,2;0,87;9,53;1,99;0
Riz soufflé nature, enrichi en vitamines et minéraux;1660;391;7;87;1,5;8;0,5;0
Céréales pour petit déjeuner riches en fibres, au chocolat, enrichies en vitamines et minéraux;1630;386;11,5;64;6,75;19,3;-;0
Pétales de blé chocolatés, enrichis en vitamines et minéraux;1640;388;9,04;77,7;3,24;29,9;0,24;0
Pétales de blé chocolatés (non enrichis en vitamines et minéraux);1640;388;8,48;80,1;2,64;30,3;< 0,2;0
Riz soufflé chocolaté (non enrichi en vitamines et minéraux);1640;388;6,31;84,2;2,2;32,5;0,4;0
Céréales chocolatées pour petit déjeuner, non fourrées, (non enrichies en vitamines et minéraux);1630;386;7,73;79,6;2,93;31,2;0,33;0
Pétales de maïs natures (non enrichis en vitamines et minéraux);1610;380;8,14;82,8;1,05;5,43;-;0
Céréales pour petit déjeuner fourrées au chocolat ou chocolat-noisettes, enrichies en vitamines et minéraux;1820;433;7,81;69,2;13;29,1;0,47;0
Céréales pour petit déjeuner fourrées au chocolat ou chocolat-noisettes;1860;442;7,33;67,2;14,8;34,3;0,14;0
Céréales pour petit déjeuner fourrées, fourrage autre que chocolat, enrichies en vitamines et minéraux;1760;419;8,42;64,7;13,3;31,2;6,8;0
Céréales pour petit déjeuner 'équilibre' nature ou au miel, enrichies en vitamines et minéraux;1620;382;11,4;78,6;1,65;17,2;-;0
Céréales pour petit déjeuner 'équilibre' au chocolat, enrichies en vitamines et minéraux;1660;394;7,5;73,9;5,9;19,5;0,41;0
Céréales pour petit déjeuner 'équilibre' aux fruits, enrichies en vitamines et minéraux;1600;378;10,5;77,9;1,74;20,6;-;0
Céréales pour petit déjeuner 'équilibre' aux fruits secs (à coque), enrichis en vitamines et minéraux;1670;394;9,77;75,5;4,93;23,7;-;0
Céréales pour petit déjeuner 'équilibre' au chocolat (non enrichies en vitamines et minéraux);1730;411;10,3;74,6;7,01;22,9;0,5;0
Céréales pour petit déjeuner 'équilibre' aux fruits (non enrichies en vitamines et minéraux);1600;378;10,5;78,7;1,4;19;2,4;0
Céréales pour petit déjeuner 'équilibre' nature (non enrichies en vitamines et minéraux);1610;379;11,3;79;1,25;15,4;-;0
Céréales pour petit déjeuner, enrichies en vitamines et minéraux (aliment moyen);1690;401;7,51;75;6,77;24,4;1,23;0
Céréales pour petit déjeuner, non enrichies en vitamines et minéraux (aliment moyen);1640;388;8,26;79,2;3,24;28,6;0,69;0
Pétales de maïs glacés au sucre (non enrichis en vitamines et minéraux);1610;379;4,4;88;0,6;29,6;-;0
Muesli croustillant aux fruits et/ou fruits secs, graines (non enrichi en vitamines et minéraux);1830;436;8,88;59,7;16,7;21,7;4,49;0
Muesli croustillant au chocolat (non enrichi en vitamines et minéraux);1850;442;8,57;63,2;16,7;22,7;0,36;0
Muesli floconneux aux fruits ou fruits secs, enrichi en vitamines et minéraux;1520;361;9,19;65,4;5;23,8;4,4;0
Muesli croustillant aux fruits ou fruits secs, enrichi en vitamines et minéraux;1930;460;5,67;68,4;17,3;30;2,92;0
Muesli croustillant au chocolat, avec ou sans fruits, enrichi en vitamines et minéraux;1890;451;9,13;62,7;16,7;21,8;1,03;0
Muesli floconneux aux fruits ou fruits secs, sans sucres ajoutés;1680;400;10,7;61,6;11;18,6;6;0
Grains de blé soufflés chocolatés, enrichis en vitamines et minéraux;1630;385;8,82;75,2;4,01;44,4;< 0,2;0
Céréales pour petit déjeuner très riches en fibres, enrichies en vitamines et minéraux;1420;338;14;49;3,5;18;-;0
Pétales de maïs glacés au sucre, enrichis en vitamines et minéraux;1590;374;5,77;84,7;0,63;30;-;0
Pétales de blé avec noix, noisettes ou amandes, enrichis en vitamines et minéraux;1630;386;10,3;67,9;6,3;20,9;-;0
Muesli floconneux ou de type traditionnel;1610;382;10,6;68,5;4,83;11,9;-;0
Boules de maïs soufflées au miel (non enrichies en vitamines et minéraux);1670;393;5,71;86,2;2,35;30,9;2;0
Blé khorasan complet soufflé;1600;378;7,32;80,5;1,96;-;0,2;0
Riz soufflé chocolaté, enrichi en vitamines et minéraux;1650;390;6,22;83,2;2,82;29,7;0,23;0
Boules de maïs soufflées au miel, enrichies en vitamines et minéraux;1630;384;5,5;85,3;1,8;27;2,03;0
Céréales complètes soufflées, enrichies en vitamines et minéraux;1630;385;7,95;76,8;3,85;32;-;0
Multi-céréales soufflées ou extrudées, enrichies en vitamines et minéraux;1660;392;7,39;79,4;4,27;33,3;-;0
Muesli croustillant, au quinoa;-;-;10,9;71,2;10,7;-;4,2;0
Muesli floconneux aux fruits ou fruits secs (non enrichi en vitamines et minéraux);1560;369;9,5;61,7;6,9;20,6;8,15;0
Muesli enrichi en vitamines et minéraux (aliment moyen);1780;424;6,96;67,3;12,8;27,7;3,46;0
Flocon d'avoine précuit;1560;370;11,7;58;7,7;1,84;< 0,2;0
Muesli non enrichi en vitamines et minéraux (aliment moyen);1690;401;9,2;60,7;11,6;21,1;6,38;0
Barre céréalière pour petit déjeuner au lait, chocolatée ou non, enrichie en vitamines et minéraux;1620;382;7,06;79,5;3,2;28,1;1,07;0
Barre céréalière 'équilibre' aux fruits, enrichie en vitamines et minéraux;1600;379;6,13;72,8;6,53;30,2;-;0
Barre céréalière 'équilibre' chocolatée, enrichie en vitamines et minéraux;1760;418;5,99;72,9;10,9;32,4;4,1;0
Barre céréalière diététique hypocalorique;1620;386;5,9;65,3;11,2;8,5;-;0
Barre céréalière chocolatée;1890;451;6,55;73;14,9;32,9;6,19;0
Barre céréalière aux fruits;1590;377;5,49;73,5;7,07;29,6;11,6;0
Barre céréalière aux amandes ou noisettes;1860;444;8,69;60,6;18,2;20,4;5,7;0
Barre céréalière chocolatée aux fruits;-;-;5,7;70,4;11,8;34,8;11,1;0
Baba au rhum, préemballé;708;169;2,83;23,6;3,86;18,2;-;3,8
Gâteau (aliment moyen);;;5,27;53,5;17,8;32;4,01;0,21
Gâteau Paris-Brest (pâte à choux crème mousseline praliné);-;-;5,44;26,1;24,9;16,2;< 0,2;0
Gâteau au chocolat type forêt noire (génoise au chocolat et crème multi-couches, avec ou sans cerises);-;-;4,13;34,2;19;29,5;4,3;1,2
Gâteau mousse de fruits sur génoise, type miroir, bavarois;-;-;3,87;31,6;12,2;25,1;2,91;0
Entremets type Opéra;-;-;5,19;39,6;24;35,1;0,7;0
Fraisier ou framboisier;-;-;3,31;26,7;15,5;17,3;7,8;0
Baba au rhum;-;-;2,25;36,3;9,9;29,9;3,22;-
Canelé;-;-;5,2;59,4;3,7;37,6;< 0,2;traces
Macaron moelleux fourré à la confiture ou à la crème;-;-;10;49,7;21,2;45,2;1,06;0,1
Bûche de Noël pâtissière;-;-;4,2;30,7;19,7;23,7;1,8;0,1
Brownie au chocolat, préemballé;1910;458;5,94;50,6;25,4;35,1;0,97;0
Rocher coco ou Congolais (petit gâteau à la noix de coco);-;-;4,46;53,7;24,1;47,5;-;0
Biscuit de Savoie;-;-;6,05;56,3;0,8;-;-;0
Quatre-quarts, fabrication artisanale;-;-;5,94;46;25,6;26,8;0,23;0
Quatre-quarts, préemballé;-;-;5,94;48,2;23,9;26,4;0,33;0
Barre pâtissière, préemballé;-;-;5,38;54,7;14,9;26,8;0,18;0
Gâteau au citron, tout type;-;-;5;54;21,3;-;-;0
Far aux pruneaux;-;-;5,13;32;8;21,5;5,19;0
Kouign Amann;-;-;5,81;48,7;25,1;20,5;4,64;0
Pain d'épices;-;-;2,94;71,5;1,1;38,2;18,8;0
Pain d'épices fourré ou nonette;-;-;4;76;2,5;44;-;0
Baklava ou Baklawa (pâtisserie orientale aux amandes et sirop);-;-;10,4;49,2;24,5;39,6;14,9;0
Corne de gazelle (pâtisserie orientale aux amandes et sirop);-;-;8,55;60,2;22,1;32;0,4;0
Chou à la crème (chantilly ou pâtissière);-;-;4,5;25,2;22,9;16,7;0,53;0
Chou à la crème chantilly, Saint-honoré;-;-;4,63;22,9;26,4;8,9;< 0,5;0
Chou à la crème pâtissière;-;-;4,31;34,9;7,3;13,5;2,6;0
Éclair;-;-;5,78;31,6;11,8;18,9;0,8;0
Tarte aux fruits et crème pâtissière;-;-;2,94;30;7,7;18,7;6;0
Tarte normande aux pommes (garniture farine, oeufs, crème, sucre, calvados);1310;313;4,44;38,7;15;25,8;2,34;0
Tarte au citron;-;-;5;42,7;20,9;30,1;2,1;0
Tarte ou tartelette aux pommes;-;-;2,52;32,7;8,79;20,7;4,3;0
Tarte aux fraises;-;-;3,19;31;19,8;-;7,2;0
